feedback,status,subject,enrollment_date,age,country,study_hours_per_week
I completed all modules and feel more confident now.,Completed,Economics,03-10-2024,39,Japan,14.9
I liked parts of the course but not everything.,Dropout,Computer Science,26-03-2024,42,Canada,5.6
The content was clear and well structured.,Completed,Computer Science,14-12-2022,18,Canada,17.5
The content was clear and well structured.,Completed,Machine Learning,30-08-2024,29,India,13.4
I found the lectures boring and unhelpful.,Dropout,Philosophy,03-03-2024,25,India,5.8
The course was too difficult and confusing.,Dropout,History,16-04-2023,28,China,10.6
The instructor did not explain concepts clearly.,Dropout,Philosophy,15-04-2023,28,Canada,17.7
The course was too difficult and confusing.,Dropout,Machine Learning,20-11-2024,20,Brazil,9.4
"The pace was average, not too fast or too slow.",Completed,Machine Learning,20-05-2024,29,UK,6.3
The course was okay but could be better.,Completed,Psychology,21-06-2023,31,India,16.7
"The pace was average, not too fast or too slow.",Dropout,Business,16-05-2022,33,Japan,12.8
"The pace was average, not too fast or too slow.",Completed,Machine Learning,01-02-2022,38,Germany,5.6
There were too many assignments with little explanation.,Dropout,Economics,23-07-2024,34,China,13.6
The overall experience was decent but not outstanding.,Completed,Philosophy,21-05-2024,36,China,10.8
The overall experience was decent but not outstanding.,Dropout,Data Science,19-09-2023,28,South Africa,12
I liked parts of the course but not everything.,Dropout,Machine Learning,16-07-2023,44,South Africa,13.9
"Some topics were useful, others were not very relevant.",Completed,Physics,16-03-2022,43,USA,17.4
I completed all modules and feel more confident now.,Completed,Mathematics,03-07-2023,22,Canada,16.8
The overall experience was decent but not outstanding.,Dropout,Computer Science,30-11-2022,34,Canada,5.5
There were too many assignments with little explanation.,Dropout,Machine Learning,20-10-2024,18,Brazil,18.5
The overall experience was decent but not outstanding.,Dropout,Physics,20-12-2022,34,China,18.6
There were too many assignments with little explanation.,Dropout,Mathematics,06-09-2022,19,USA,1.3
There were too many assignments with little explanation.,Dropout,Data Science,03-02-2022,20,China,8.3
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,03-04-2022,18,China,17
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,23-01-2022,35,USA,16.5
The course was okay but could be better.,Dropout,History,10-07-2022,27,India,18.4
"The pace was average, not too fast or too slow.",Dropout,Psychology,16-10-2023,38,Canada,13.2
The overall experience was decent but not outstanding.,Dropout,Economics,08-04-2022,43,South Africa,6.3
I lost motivation because the content was overwhelming.,Dropout,Business,26-09-2023,31,Japan,7
The course was too difficult and confusing.,Dropout,Data Science,11-02-2023,41,India,9.7
The content was clear and well structured.,Completed,Data Science,28-01-2024,44,Australia,18.9
I liked parts of the course but not everything.,Completed,Machine Learning,10-11-2023,18,India,9.3
"Some topics were useful, others were not very relevant.",Completed,Psychology,08-07-2022,20,India,18.2
The course was okay but could be better.,Completed,Psychology,27-06-2022,40,USA,14.4
The instructor did not explain concepts clearly.,Dropout,Data Science,04-07-2024,35,Germany,2.9
The overall experience was decent but not outstanding.,Completed,Computer Science,27-03-2022,34,Japan,1.3
"Some topics were useful, others were not very relevant.",Dropout,History,19-02-2023,27,China,3.7
The content was clear and well structured.,Completed,History,29-07-2024,43,India,11
"The pace was average, not too fast or too slow.",Completed,Economics,01-12-2024,38,Japan,3.2
The overall experience was decent but not outstanding.,Completed,Machine Learning,16-01-2024,18,Germany,16.3
The content was clear and well structured.,Completed,Business,17-07-2024,45,USA,11.8
The course was very engaging and easy to follow.,Completed,Philosophy,30-04-2023,22,India,18.9
"Some topics were useful, others were not very relevant.",Dropout,Business,19-07-2024,45,China,12
"Some topics were useful, others were not very relevant.",Dropout,Data Science,12-09-2023,20,China,17.2
The content was clear and well structured.,Completed,Machine Learning,02-08-2024,29,Germany,10.7
I liked parts of the course but not everything.,Dropout,Computer Science,24-07-2024,27,USA,13.7
I liked parts of the course but not everything.,Dropout,Psychology,28-02-2024,37,UK,15.9
"The pace was average, not too fast or too slow.",Dropout,Economics,24-10-2022,26,USA,12.6
The content was clear and well structured.,Completed,History,30-06-2023,23,UK,3.7
The course was okay but could be better.,Completed,Economics,02-06-2022,32,India,16.4
The course was okay but could be better.,Completed,Psychology,28-09-2022,21,China,7.6
The course was okay but could be better.,Completed,Computer Science,03-04-2022,28,Brazil,15.8
The course was too difficult and confusing.,Dropout,Philosophy,17-10-2022,22,Germany,10.4
The overall experience was decent but not outstanding.,Dropout,Data Science,12-04-2022,20,Brazil,5.2
"Some topics were useful, others were not very relevant.",Completed,Psychology,19-04-2022,32,UK,5
The instructor did not explain concepts clearly.,Dropout,Computer Science,30-12-2022,34,UK,18.5
I completed all modules and feel more confident now.,Completed,Data Science,30-04-2022,20,South Africa,10.9
There were too many assignments with little explanation.,Dropout,Psychology,15-07-2024,25,USA,3.6
I really enjoyed the instructor's teaching style.,Completed,History,04-02-2024,18,South Africa,2.3
"The pace was average, not too fast or too slow.",Completed,Data Science,07-07-2022,21,Japan,8.1
The overall experience was decent but not outstanding.,Dropout,Mathematics,07-08-2024,43,USA,19.6
The course was okay but could be better.,Dropout,Mathematics,25-05-2024,20,India,15.1
I liked parts of the course but not everything.,Dropout,Data Science,06-10-2022,24,India,1.6
"Some topics were useful, others were not very relevant.",Dropout,Philosophy,05-10-2023,39,India,1.1
I completed all modules and feel more confident now.,Completed,Machine Learning,29-10-2024,36,Australia,11.7
I completed all modules and feel more confident now.,Completed,Physics,16-10-2022,43,Japan,10.9
The overall experience was decent but not outstanding.,Completed,Economics,13-03-2023,45,Brazil,7.5
I completed all modules and feel more confident now.,Completed,Computer Science,25-08-2022,31,USA,19.2
I liked parts of the course but not everything.,Dropout,Physics,29-09-2023,43,China,2.6
The course was too difficult and confusing.,Dropout,Psychology,12-11-2023,19,UK,7.7
This course helped me a lot in understanding the subject.,Completed,Mathematics,21-05-2022,32,Australia,5.1
I liked parts of the course but not everything.,Completed,Psychology,09-12-2024,42,Canada,7.4
"Some topics were useful, others were not very relevant.",Dropout,Economics,04-05-2022,30,Australia,19.6
The course was very engaging and easy to follow.,Completed,History,06-07-2024,24,Japan,11.4
I completed all modules and feel more confident now.,Completed,Economics,27-10-2024,24,China,6.8
The course was okay but could be better.,Dropout,Physics,23-02-2024,43,Australia,8.7
"The pace was average, not too fast or too slow.",Dropout,Data Science,09-11-2023,28,India,9.5
I completed all modules and feel more confident now.,Completed,Data Science,16-03-2024,29,South Africa,12.8
I really enjoyed the instructor's teaching style.,Completed,Business,24-03-2024,23,Canada,11.7
The overall experience was decent but not outstanding.,Dropout,Data Science,14-11-2023,42,Germany,3
I completed all modules and feel more confident now.,Completed,Data Science,28-07-2022,25,USA,19.1
I liked parts of the course but not everything.,Dropout,Economics,05-03-2024,21,Japan,19.7
There were too many assignments with little explanation.,Dropout,Business,28-08-2023,40,South Africa,14
There were too many assignments with little explanation.,Dropout,Mathematics,18-02-2022,30,Japan,8
The course was okay but could be better.,Dropout,Psychology,20-06-2022,39,UK,20
There were too many assignments with little explanation.,Dropout,Mathematics,15-06-2024,28,Japan,7.8
The course was too difficult and confusing.,Dropout,Mathematics,05-05-2024,42,India,2.5
The course was okay but could be better.,Dropout,Physics,10-01-2023,29,Japan,5.9
The course was very engaging and easy to follow.,Completed,Computer Science,02-08-2023,19,South Africa,2.9
This course helped me a lot in understanding the subject.,Completed,Mathematics,07-08-2024,37,China,1.9
The overall experience was decent but not outstanding.,Completed,Business,27-02-2022,25,USA,1.9
I completed all modules and feel more confident now.,Completed,Philosophy,19-03-2023,27,India,4.9
The course was too difficult and confusing.,Dropout,Psychology,15-12-2023,22,India,17.7
The course was very engaging and easy to follow.,Completed,Economics,06-08-2023,20,USA,11.3
I lost motivation because the content was overwhelming.,Dropout,Business,23-12-2022,35,Germany,7.6
The course was okay but could be better.,Dropout,Philosophy,29-11-2023,22,India,7.9
The course was too difficult and confusing.,Dropout,Data Science,14-04-2024,33,Japan,18.9
The course was too difficult and confusing.,Dropout,History,27-05-2024,44,China,2.1
I liked parts of the course but not everything.,Completed,Computer Science,23-06-2023,19,Canada,19.9
The content was clear and well structured.,Completed,Physics,01-02-2023,36,Australia,6.8
This course helped me a lot in understanding the subject.,Completed,Data Science,06-01-2022,30,South Africa,9.7
The course was okay but could be better.,Dropout,Business,17-01-2022,24,UK,13
I found the lectures boring and unhelpful.,Dropout,Computer Science,12-03-2023,30,Germany,5.8
The content was clear and well structured.,Completed,Psychology,05-08-2022,32,China,5.8
There were too many assignments with little explanation.,Dropout,Philosophy,03-11-2022,25,Canada,6.8
I found the lectures boring and unhelpful.,Dropout,Data Science,07-03-2022,36,India,13.2
The course was very engaging and easy to follow.,Completed,Business,16-05-2023,18,China,11.6
"The pace was average, not too fast or too slow.",Completed,Psychology,13-05-2023,18,UK,17.8
I found the lectures boring and unhelpful.,Dropout,History,15-03-2024,32,Canada,16.1
The instructor did not explain concepts clearly.,Dropout,Business,23-07-2024,28,Japan,11.6
The course was okay but could be better.,Completed,Philosophy,17-01-2023,20,UK,12.3
I completed all modules and feel more confident now.,Completed,Mathematics,20-03-2024,19,Canada,19.1
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,18-01-2022,40,UK,9.7
"The pace was average, not too fast or too slow.",Completed,Mathematics,09-06-2022,26,South Africa,19.7
The overall experience was decent but not outstanding.,Dropout,Mathematics,03-01-2022,32,USA,2.7
The content was clear and well structured.,Completed,Physics,13-01-2022,23,Canada,9.2
I found the lectures boring and unhelpful.,Dropout,Philosophy,17-12-2022,20,Germany,18.2
"The pace was average, not too fast or too slow.",Dropout,Philosophy,28-09-2024,41,India,14
"Some topics were useful, others were not very relevant.",Dropout,Machine Learning,18-08-2022,34,Brazil,5
The course was okay but could be better.,Completed,Economics,17-06-2022,41,Japan,17.7
I liked parts of the course but not everything.,Completed,Mathematics,12-07-2022,30,China,10.8
The course was okay but could be better.,Dropout,Physics,07-09-2024,35,Japan,17.3
"The pace was average, not too fast or too slow.",Dropout,History,13-11-2022,34,Japan,10.1
"The pace was average, not too fast or too slow.",Dropout,Psychology,11-11-2023,27,India,13.5
There were too many assignments with little explanation.,Dropout,Computer Science,29-11-2022,18,India,4.4
The overall experience was decent but not outstanding.,Dropout,Psychology,19-09-2022,38,Canada,3.6
The course was too difficult and confusing.,Dropout,Psychology,01-07-2022,26,Australia,10.3
This course helped me a lot in understanding the subject.,Completed,Mathematics,10-12-2024,41,USA,2.3
The overall experience was decent but not outstanding.,Completed,Philosophy,06-02-2023,40,India,13.8
There were too many assignments with little explanation.,Dropout,Data Science,02-03-2023,19,Australia,18.8
I lost motivation because the content was overwhelming.,Dropout,Mathematics,25-09-2022,40,South Africa,10.5
I found the lectures boring and unhelpful.,Dropout,Physics,03-02-2024,40,Canada,1.8
"The pace was average, not too fast or too slow.",Dropout,Machine Learning,05-05-2024,28,India,8.7
This course helped me a lot in understanding the subject.,Completed,Data Science,28-04-2022,29,Japan,5.4
I liked parts of the course but not everything.,Completed,Computer Science,30-12-2023,30,Japan,2.8
There were too many assignments with little explanation.,Dropout,Machine Learning,16-02-2022,38,UK,19.8
"Some topics were useful, others were not very relevant.",Dropout,Machine Learning,19-08-2024,27,Brazil,17.4
There were too many assignments with little explanation.,Dropout,Philosophy,23-12-2024,24,USA,18.9
The instructor did not explain concepts clearly.,Dropout,Physics,20-07-2023,20,Japan,8.4
There were too many assignments with little explanation.,Dropout,Philosophy,16-06-2022,43,Canada,18.8
I liked parts of the course but not everything.,Completed,Data Science,23-10-2024,19,Germany,8.7
"Some topics were useful, others were not very relevant.",Completed,History,01-08-2024,42,India,8.3
The content was clear and well structured.,Completed,Machine Learning,14-11-2024,43,Brazil,7.9
The instructor did not explain concepts clearly.,Dropout,Philosophy,11-08-2023,42,Australia,6.7
I liked parts of the course but not everything.,Dropout,History,12-03-2024,24,Australia,12.5
I lost motivation because the content was overwhelming.,Dropout,Philosophy,03-05-2024,29,India,6.7
The content was clear and well structured.,Completed,Computer Science,24-01-2023,22,UK,8.3
I really enjoyed the instructor's teaching style.,Completed,Machine Learning,29-08-2023,22,Australia,5.1
The content was clear and well structured.,Completed,Business,19-10-2023,26,UK,2.9
"The pace was average, not too fast or too slow.",Dropout,Computer Science,20-07-2022,41,Japan,18.7
I lost motivation because the content was overwhelming.,Dropout,Psychology,23-06-2022,39,Japan,11.8
I completed all modules and feel more confident now.,Completed,Physics,16-02-2023,35,Germany,16.3
The instructor did not explain concepts clearly.,Dropout,Computer Science,18-01-2023,29,India,7.9
I lost motivation because the content was overwhelming.,Dropout,Physics,18-06-2023,24,India,16.4
I found the lectures boring and unhelpful.,Dropout,Machine Learning,20-01-2024,45,China,10.5
The course was okay but could be better.,Dropout,Psychology,28-01-2024,45,South Africa,15.8
The overall experience was decent but not outstanding.,Completed,Psychology,19-10-2024,28,South Africa,8.6
The course was okay but could be better.,Completed,Physics,09-01-2024,25,Brazil,8
I completed all modules and feel more confident now.,Completed,History,02-03-2024,41,Japan,15.8
I really enjoyed the instructor's teaching style.,Completed,History,04-03-2023,26,UK,2.5
I completed all modules and feel more confident now.,Completed,Business,15-02-2022,35,India,11.9
"The pace was average, not too fast or too slow.",Completed,Machine Learning,01-12-2023,23,Brazil,12.3
The course was okay but could be better.,Completed,Philosophy,20-02-2024,30,Australia,17
I found the lectures boring and unhelpful.,Dropout,Physics,28-01-2022,32,Australia,3.6
The overall experience was decent but not outstanding.,Completed,Machine Learning,29-06-2023,23,Brazil,3.3
The course was very engaging and easy to follow.,Completed,Psychology,05-02-2023,25,UK,18.9
The instructor did not explain concepts clearly.,Dropout,Business,25-09-2023,24,India,9.6
This course helped me a lot in understanding the subject.,Completed,Computer Science,08-04-2023,21,India,1.6
I liked parts of the course but not everything.,Dropout,Economics,31-12-2023,23,UK,18.7
The course was okay but could be better.,Dropout,Economics,03-07-2024,20,China,6.3
I lost motivation because the content was overwhelming.,Dropout,Business,27-07-2023,41,UK,9.2
I completed all modules and feel more confident now.,Completed,Psychology,17-10-2024,19,USA,10.4
The course was too difficult and confusing.,Dropout,Economics,21-04-2024,43,Germany,17.6
I lost motivation because the content was overwhelming.,Dropout,Computer Science,05-08-2024,32,UK,12
The course was okay but could be better.,Completed,History,21-01-2023,24,South Africa,1.1
The course was very engaging and easy to follow.,Completed,Data Science,02-01-2024,44,UK,16.5
The course was too difficult and confusing.,Dropout,Business,29-10-2023,38,China,13.5
The course was too difficult and confusing.,Dropout,Data Science,08-11-2022,33,UK,14.9
The instructor did not explain concepts clearly.,Dropout,Mathematics,17-10-2023,32,Canada,3.3
The overall experience was decent but not outstanding.,Dropout,Psychology,10-04-2023,36,USA,15.6
"Some topics were useful, others were not very relevant.",Dropout,Economics,27-06-2022,33,UK,18.3
I found the lectures boring and unhelpful.,Dropout,Physics,14-02-2024,37,Germany,7.7
"The pace was average, not too fast or too slow.",Dropout,History,27-12-2022,41,India,12.4
The overall experience was decent but not outstanding.,Dropout,Computer Science,20-05-2023,29,UK,14.7
This course helped me a lot in understanding the subject.,Completed,Physics,31-10-2022,23,UK,13.2
This course helped me a lot in understanding the subject.,Completed,Philosophy,25-01-2023,34,Japan,12.6
The instructor did not explain concepts clearly.,Dropout,Business,28-08-2024,40,Canada,15.9
There were too many assignments with little explanation.,Dropout,Physics,16-05-2024,31,USA,10.6
I liked parts of the course but not everything.,Dropout,History,07-07-2022,19,China,19.5
"The pace was average, not too fast or too slow.",Dropout,Mathematics,07-03-2024,37,South Africa,16
"The pace was average, not too fast or too slow.",Dropout,Mathematics,14-02-2023,30,India,2.9
I really enjoyed the instructor's teaching style.,Completed,Mathematics,22-03-2024,21,Germany,13.3
"The pace was average, not too fast or too slow.",Dropout,Economics,10-01-2023,40,USA,19.3
"Some topics were useful, others were not very relevant.",Completed,Psychology,29-12-2024,45,Australia,15.8
This course helped me a lot in understanding the subject.,Completed,Business,25-06-2024,42,Australia,3.5
I lost motivation because the content was overwhelming.,Dropout,Mathematics,18-10-2022,23,China,1.3
The overall experience was decent but not outstanding.,Dropout,Psychology,04-06-2023,22,Germany,11.6
There were too many assignments with little explanation.,Dropout,Mathematics,26-12-2023,30,India,8.2
This course helped me a lot in understanding the subject.,Completed,Business,11-04-2022,30,Canada,16.8
This course helped me a lot in understanding the subject.,Completed,Machine Learning,23-08-2022,35,India,6.2
I completed all modules and feel more confident now.,Completed,Machine Learning,29-04-2023,18,South Africa,13.7
"The pace was average, not too fast or too slow.",Dropout,Psychology,07-09-2022,38,China,7.2
I found the lectures boring and unhelpful.,Dropout,Physics,29-02-2024,23,Brazil,13.6
"Some topics were useful, others were not very relevant.",Completed,Physics,27-08-2024,39,Germany,8.3
I completed all modules and feel more confident now.,Completed,Computer Science,03-04-2022,29,Germany,5.8
There were too many assignments with little explanation.,Dropout,Machine Learning,25-01-2024,20,Brazil,19.6
I really enjoyed the instructor's teaching style.,Completed,Machine Learning,02-12-2023,28,Brazil,6.2
The overall experience was decent but not outstanding.,Dropout,History,10-03-2023,36,Germany,9.6
The course was okay but could be better.,Completed,Mathematics,04-05-2022,33,India,16.4
The instructor did not explain concepts clearly.,Dropout,Mathematics,09-06-2024,23,India,2.4
I really enjoyed the instructor's teaching style.,Completed,Mathematics,03-07-2022,22,Australia,2.4
The overall experience was decent but not outstanding.,Dropout,Physics,30-05-2024,37,Brazil,9.8
"Some topics were useful, others were not very relevant.",Completed,Data Science,07-12-2024,33,Canada,2.4
I liked parts of the course but not everything.,Completed,Computer Science,19-04-2023,20,Japan,19.7
There were too many assignments with little explanation.,Dropout,Computer Science,08-03-2024,39,India,9.7
The overall experience was decent but not outstanding.,Completed,Economics,31-12-2024,37,South Africa,13.3
The course was okay but could be better.,Completed,Physics,02-03-2023,38,Japan,18.1
This course helped me a lot in understanding the subject.,Completed,Machine Learning,07-07-2022,38,Brazil,7.2
The course was too difficult and confusing.,Dropout,Economics,17-11-2023,23,Canada,3.4
There were too many assignments with little explanation.,Dropout,Machine Learning,22-05-2022,29,India,15.7
"Some topics were useful, others were not very relevant.",Completed,Psychology,03-08-2023,36,South Africa,16.2
I liked parts of the course but not everything.,Completed,Data Science,13-04-2022,18,UK,9
"Some topics were useful, others were not very relevant.",Completed,Psychology,26-09-2023,35,Brazil,10.4
The overall experience was decent but not outstanding.,Completed,Computer Science,10-07-2024,27,USA,9
"Some topics were useful, others were not very relevant.",Dropout,Business,23-05-2024,40,India,5.9
The course was very engaging and easy to follow.,Completed,Data Science,12-04-2024,25,Germany,7
I liked parts of the course but not everything.,Dropout,Physics,19-03-2022,36,Brazil,19.5
The overall experience was decent but not outstanding.,Completed,Mathematics,09-08-2024,32,USA,3.1
The content was clear and well structured.,Completed,Philosophy,18-02-2024,25,Germany,4.9
The overall experience was decent but not outstanding.,Completed,Computer Science,17-01-2022,23,Germany,7.6
"The pace was average, not too fast or too slow.",Dropout,Mathematics,05-08-2024,31,Canada,9.1
I found the lectures boring and unhelpful.,Dropout,Business,17-08-2023,34,Japan,17.1
The overall experience was decent but not outstanding.,Completed,History,16-12-2023,27,Brazil,13.5
The instructor did not explain concepts clearly.,Dropout,Business,21-06-2023,45,Australia,15.2
I completed all modules and feel more confident now.,Completed,Machine Learning,18-09-2023,37,USA,8.5
The overall experience was decent but not outstanding.,Dropout,Physics,14-06-2023,26,Japan,9.6
The overall experience was decent but not outstanding.,Dropout,Psychology,19-04-2024,26,India,11
There were too many assignments with little explanation.,Dropout,Physics,08-04-2022,36,Germany,10.5
The overall experience was decent but not outstanding.,Dropout,Computer Science,24-03-2023,36,China,13.2
I really enjoyed the instructor's teaching style.,Completed,Physics,19-11-2022,21,India,20
The content was clear and well structured.,Completed,Data Science,21-12-2022,21,South Africa,15.5
The course was okay but could be better.,Completed,Psychology,28-11-2024,29,Canada,6.5
The course was okay but could be better.,Completed,Business,25-08-2024,43,Japan,3.5
The course was too difficult and confusing.,Dropout,Physics,21-01-2022,19,Australia,6.3
I completed all modules and feel more confident now.,Completed,History,12-05-2022,22,Japan,5.2
The course was too difficult and confusing.,Dropout,Mathematics,30-12-2023,21,UK,15.8
I liked parts of the course but not everything.,Dropout,Business,16-03-2024,45,Germany,11
This course helped me a lot in understanding the subject.,Completed,Business,22-11-2023,38,South Africa,19.3
I really enjoyed the instructor's teaching style.,Completed,Philosophy,24-03-2023,20,Australia,14.4
This course helped me a lot in understanding the subject.,Completed,Psychology,02-11-2023,30,Brazil,5.2
I lost motivation because the content was overwhelming.,Dropout,Economics,30-01-2024,19,Canada,6.6
I lost motivation because the content was overwhelming.,Dropout,History,19-11-2022,39,UK,1.6
I lost motivation because the content was overwhelming.,Dropout,Psychology,25-07-2024,27,UK,6
I found the lectures boring and unhelpful.,Dropout,Data Science,09-09-2023,25,South Africa,14.6
"The pace was average, not too fast or too slow.",Completed,History,27-02-2022,19,China,16
The content was clear and well structured.,Completed,Philosophy,29-07-2023,30,Japan,19.2
I found the lectures boring and unhelpful.,Dropout,Computer Science,16-06-2024,27,USA,9.9
The course was too difficult and confusing.,Dropout,Psychology,02-03-2023,44,Germany,2.1
"The pace was average, not too fast or too slow.",Dropout,Business,07-04-2022,23,UK,16.5
"Some topics were useful, others were not very relevant.",Completed,History,24-11-2023,23,South Africa,15.3
